"id","balancete","codigo","name","description","created_at","updated_at","deleted_at","danger_level"
"1","7","30.07.1338","AÇÚCAR, TIPO CRISTAL, CARACTERÍSTICAS ADICIONAIS SACAROSE DE CANA-DE-AÇUCAR",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"2","16","30.16.1065","ESTOJO PARA DVD, EM PVC 19 X 13,5 X 1,3CM - TRANSPARENTE.",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"3","16","30.16.1069","PRANCHETA 1/2 OFÍCIO CRISTAL C/ PRENDEDOR PLÁSTICO.",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"4","16","30.16.1075","PAPEL CARTOLINA, MATERIAL CELULOSE VEGETAL, GRAMATURA 180 G/M2, COR AMARELA, 660x500MM",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"5","16","30.16.1076","PAPEL CARTOLINA, MATERIAL CELULOSE VEGETAL, GRAMATURA 180 G/M2, COR AZUL, 660X500MM",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"6","16","30.16.1077","PAPEL CARTOLINA, MATERIAL CELULOSE VEGETAL, GRAMATURA 180 G/M2, COR ROSA, 660X500MM",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"7","16","30.16.1179","PINCEL ATÔMICO/PERMANENTE, MATERIAL PLÁSTICO, TIPO PONTA CHANFRADA, TIPO CARGA DESCARTÁVEL, COR PRETA.",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"8","16","30.16.1180","PINCEL ATÔMICO, MATERIAL PLÁSTICO, TIPO PONTA CHANFRADA, TIPO CARGA DESCARTÁVEL, COR TINTA VERMELHA",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"9","16","30.16.1353","ESTILETE, TIPO LARGO, 20MM, CORPO PLÁSTICO, COMP 11CM, GRADUAL TRAVA DE SEGURANÇA.",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"10","16","30.16.1355","SACO DOCUMENTO, PLÁSTICO TRANSPARENTE, 10 FL, 356MM X 216MM, 4 FUROS.",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"11","16","30.16.1370","ETIQUETA AUTO-ADESIVA, MATERIAL PAPEL ALCALINO, COR BRANCA, FORMATO RETANGULAR, ALTURA 70 MM, LARGURA 31 MM, TIPO USO IMPRESSORA JET/LASER/COPIADORAS TAMANHO A4",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"12","16","30.16.1371","APAGADOR QUADRO MAGNÉTICO, MATERIAL CORPO PLÁSTICO, COMPRIMENTO 15 CM , LARGURA 6 CM. ALTURA 4 CM, MATERIAL BASE FILTRO, ENCAIXE PINCEL",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"13","16","30.16.1373","CLIPE, TAMANHO 2/0, MATERIAL METAL, FORMATO PARALELO. CAIXA 100 UN",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"14","16","30.16.1375","COLCHETE FIXAÇÃO, MATERIAL AÇO, TRATAMENTO SUPERFICIAL LATONADO, TAMANHO Nº 12. CAIXA 72 UN",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"15","16","30.16.1376","EXTRATOR GRAMPO, MATERIAL AÇO INOXIDÁVEL, TIPO ESPÁTULA, RATAMENTO SUPERFICIAL CROMADO, CARACTERÍSTICAS ADICIONAIS DIMENSÕES 150 X 20 MM",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"16","16","30.16.1377","GRAMPEADOR, TRATAMENTO SUPERFICIAL PINTADO, MATERIAL METAL, TIPO PROFISSIONAL DE GRANDE PORTE, APLICAÇÃO FOLHAS, TAMANHO GRAMPO 23/6, 23/8, 23/10, E 23/13, COR PRETA, CARACT. ADICIONAIS DE MESA/PROFUNDIDADE GRAMPEADO AJUSTÁVEL ATÉ 69 MM",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"17","16","30.16.1379","GRAMPO GRAMPEADOR, MATERIAL METAL, TRATAMENTO SUPERFICIAL NIQUELADO",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"18","16","30.16.138","REFORÇO AUTO ADESIVO (REFORÇO PLÁSTICO), INCOLOR, 15MM, APLICAÇÃO PAPEL PERFURADO, MATERIAL PLASTICO INCOLOR (CAIXA COM 200 UNIDADES)",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
"19","16","30.16.1382","PINCEL QUADRO BRANCO / MAGNÉTICO, MATERIAL PLÁSTICO, PONTA FELTRO, TIPO CARGA RECARREGÁVEL, COR AZUL",,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0"
